scene,gidA,gidB,n_adj,n_diff,n_cont,min_step,median_step,same,objA,objB
n4_scene0025,1,23,1,1,0,248.4,248.4,1,sugar_box,sugar_box
n4_scene0025,23,26,2,1,1,4.7,122.8,1,sugar_box,sugar_box
n4_scene0025,8,26,1,0,1,22.2,22.2,1,sugar_box,sugar_box
n4_scene0025,26,27,1,0,1,25.0,25.0,1,sugar_box,sugar_box
n4_scene0025,11,25,1,1,0,191.1,191.1,0,spoon,cracker_box
n4_scene0025,21,25,1,1,0,94.2,94.2,0,spoon,cracker_box
n4_scene0025,19,26,1,1,0,94.6,94.6,0,spoon,sugar_box
n4_scene0025,30,31,2,0,2,2.1,2.2,1,cracker_box,cracker_box
n4_scene0025,11,19,2,2,0,201.7,639.5,1,spoon,spoon
n4_scene0025,8,23,1,0,1,8.3,8.3,1,sugar_box,sugar_box
n4_scene0025,14,19,1,1,0,234.5,234.5,0,cracker_box,spoon
n4_scene0025,8,12,1,1,0,149.6,149.6,1,sugar_box,sugar_box
n4_scene0025,11,12,1,1,0,179.5,179.5,0,spoon,sugar_box
n4_scene0025,12,18,1,0,1,8.8,8.8,1,sugar_box,sugar_box
n4_scene0025,18,26,2,1,1,31.3,36.4,1,sugar_box,sugar_box
n4_scene0025,18,23,1,0,1,4.8,4.8,1,sugar_box,sugar_box
n4_scene0025,8,19,1,1,0,131.5,131.5,0,sugar_box,spoon
n4_scene0025,18,28,1,0,1,1.2,1.2,1,sugar_box,sugar_box
n4_scene0026,1,13,1,1,0,322.1,322.1,0,banana,rubiks_cube
n4_scene0026,8,13,1,1,0,324.2,324.2,0,banana,rubiks_cube
n4_scene0026,6,13,1,1,0,85.7,85.7,0,pudding_box,rubiks_cube
n4_scene0026,12,17,1,0,1,13.4,13.4,0,rubiks_cube,pudding_box
n4_scene0026,9,17,1,1,0,82.4,82.4,0,peach,pudding_box
n4_scene0027,1,6,2,2,0,222.4,264.8,0,wood_block,pear
n4_scene0027,2,9,3,1,2,11.6,11.8,1,wood_block,wood_block
n4_scene0027,1,10,1,0,1,9.7,9.7,1,wood_block,wood_block
n4_scene0027,6,9,1,1,0,290.3,290.3,0,pear,wood_block
n4_scene0027,6,12,2,0,2,5.5,9.0,0,pear,tennis_ball
n4_scene0027,6,10,1,1,0,249.7,249.7,0,pear,wood_block
n4_scene0027,2,6,1,1,0,247.0,247.0,0,wood_block,pear
n4_scene0027,11,13,1,0,1,22.5,22.5,1,wood_block,wood_block
n4_scene0027,7,13,1,0,1,22.8,22.8,1,wood_block,wood_block
n4_scene0027,2,11,1,0,1,23.6,23.6,1,wood_block,wood_block
n4_scene0027,2,7,4,0,4,15.7,22.5,1,wood_block,wood_block
n4_scene0027,7,11,1,1,0,248.5,248.5,1,wood_block,wood_block
n4_scene0027,2,12,1,0,1,4.9,4.9,0,wood_block,tennis_ball
n4_scene0027,7,12,1,1,0,347.0,347.0,0,wood_block,tennis_ball
n4_scene0027,7,10,1,1,0,48.3,48.3,1,wood_block,wood_block
n4_scene0028,8,14,6,6,0,62.5,82.0,1,master_chef_can,master_chef_can
n4_scene0028,13,14,4,2,2,2.6,50.6,1,master_chef_can,master_chef_can
n4_scene0028,5,14,1,1,0,260.1,260.1,0,knife,master_chef_can
n4_scene0028,11,14,1,1,0,265.7,265.7,0,knife,master_chef_can
n4_scene0028,7,8,11,8,3,10.8,51.2,1,master_chef_can,master_chef_can
n4_scene0028,8,12,11,11,0,42.6,214.8,0,master_chef_can,cups
n4_scene0028,5,8,1,1,0,187.0,187.0,0,knife,master_chef_can
n4_scene0028,12,13,1,1,0,399.9,399.9,0,cups,master_chef_can
n4_scene0028,2,5,1,1,0,210.2,210.2,0,master_chef_can,knife
n4_scene0028,12,14,4,4,0,116.8,338.9,0,cups,master_chef_can
n4_scene0028,10,13,2,2,0,71.7,187.5,1,master_chef_can,master_chef_can
n4_scene0028,7,14,1,1,0,117.9,117.9,1,master_chef_can,master_chef_can
n4_scene0028,7,12,1,1,0,141.9,141.9,0,master_chef_can,cups
n4_scene0028,3,14,1,1,0,90.2,90.2,1,master_chef_can,master_chef_can
n4_scene0028,5,11,2,0,2,0.6,1.6,1,knife,knife
n4_scene0028,5,7,1,1,0,202.1,202.1,0,knife,master_chef_can
n4_scene0028,8,13,4,0,4,0.2,14.7,1,master_chef_can,master_chef_can
n4_scene0028,7,13,4,2,2,1.0,28.2,1,master_chef_can,master_chef_can
n4_scene0028,5,10,1,0,1,3.9,3.9,0,knife,master_chef_can
n4_scene0028,10,11,1,0,1,2.2,2.2,0,master_chef_can,knife
n4_scene0028,9,13,1,0,1,22.7,22.7,1,master_chef_can,master_chef_can
n4_scene0028,10,14,1,0,1,22.5,22.5,1,master_chef_can,master_chef_can
n4_scene0029,16,19,4,0,4,4.3,9.8,1,bleach_cleanser,bleach_cleanser
n4_scene0029,4,16,7,7,0,69.9,161.5,0,nine_hole_peg_test,bleach_cleanser
n4_scene0029,4,5,3,3,0,156.1,232.3,0,nine_hole_peg_test,bleach_cleanser
n4_scene0029,4,20,3,1,2,14.0,20.7,1,nine_hole_peg_test,nine_hole_peg_test
n4_scene0029,4,13,2,1,1,2.2,136.0,0,nine_hole_peg_test,bleach_cleanser
n4_scene0029,4,15,7,7,0,51.5,227.1,0,nine_hole_peg_test,bleach_cleanser
n4_scene0029,5,13,2,2,0,97.7,100.8,1,bleach_cleanser,bleach_cleanser
n4_scene0029,5,16,3,3,0,95.4,99.4,1,bleach_cleanser,bleach_cleanser
n4_scene0029,5,17,3,3,0,91.5,122.5,0,bleach_cleanser,fork
n4_scene0029,13,20,2,2,0,95.0,99.3,0,bleach_cleanser,nine_hole_peg_test
n4_scene0029,16,20,6,3,3,1.3,30.8,0,bleach_cleanser,nine_hole_peg_test
n4_scene0029,17,20,3,1,2,23.8,36.6,0,fork,nine_hole_peg_test
n4_scene0029,5,15,1,1,0,297.3,297.3,1,bleach_cleanser,bleach_cleanser
n4_scene0029,14,20,4,1,3,0.1,18.1,1,nine_hole_peg_test,nine_hole_peg_test
n4_scene0029,1,13,1,1,0,123.3,123.3,0,baseball,bleach_cleanser
n4_scene0029,15,16,5,4,1,22.8,144.2,1,bleach_cleanser,bleach_cleanser
n4_scene0029,13,17,2,2,0,242.2,255.0,0,bleach_cleanser,fork
n4_scene0029,13,14,1,1,0,329.1,329.1,0,bleach_cleanser,nine_hole_peg_test
n4_scene0029,4,14,2,0,2,7.0,18.1,1,nine_hole_peg_test,nine_hole_peg_test
n4_scene0029,14,16,1,0,1,0.3,0.3,0,nine_hole_peg_test,bleach_cleanser
n4_scene0029,4,17,3,3,0,221.9,222.8,0,nine_hole_peg_test,fork
n4_scene0029,11,20,1,0,1,2.3,2.3,1,nine_hole_peg_test,nine_hole_peg_test
n4_scene0029,8,19,1,0,1,2.9,2.9,1,bleach_cleanser,bleach_cleanser
n4_scene0029,11,15,1,1,0,266.9,266.9,0,nine_hole_peg_test,bleach_cleanser
n4_scene0029,16,17,3,2,1,0.4,48.7,0,bleach_cleanser,fork
n4_scene0029,4,6,1,1,0,284.0,284.0,0,nine_hole_peg_test,bleach_cleanser
n4_scene0029,6,17,1,1,0,289.2,289.2,0,bleach_cleanser,fork
n4_scene0029,15,17,1,1,0,67.5,67.5,0,bleach_cleanser,fork
n4_scene0029,5,20,1,1,0,76.6,76.6,0,bleach_cleanser,nine_hole_peg_test
n4_scene0029,8,16,1,0,1,9.0,9.0,1,bleach_cleanser,bleach_cleanser
n4_scene0030,6,7,2,2,0,53.8,53.9,0,cups,mini_soccer_ball
n4_scene0030,7,10,1,1,0,224.3,224.3,1,mini_soccer_ball,mini_soccer_ball
n4_scene0030,6,8,3,3,0,48.9,71.0,0,cups,mini_soccer_ball
n4_scene0030,11,14,1,0,1,0.2,0.2,0,large_marker,cups
n4_scene0030,6,14,2,0,2,2.9,3.1,1,cups,cups
n4_scene0030,7,14,2,0,2,19.9,25.0,0,mini_soccer_ball,cups
n4_scene0030,8,14,3,1,2,8.8,24.7,0,mini_soccer_ball,cups
n4_scene0030,7,8,1,0,1,9.0,9.0,1,mini_soccer_ball,mini_soccer_ball
n4_scene0031,4,12,6,5,1,0.2,87.3,1,adjustable_wrench,adjustable_wrench
n4_scene0031,2,12,1,1,0,124.8,124.8,0,phillips_screwdriver,adjustable_wrench
n4_scene0031,9,12,1,1,0,123.8,123.8,0,phillips_screwdriver,adjustable_wrench
n4_scene0031,3,4,1,1,0,62.5,62.5,0,cups,adjustable_wrench
n4_scene0031,4,10,2,1,1,30.2,46.2,0,adjustable_wrench,cups
n4_scene0031,7,12,1,0,1,10.8,10.8,0,strawberry,adjustable_wrench
n4_scene0032,9,12,5,1,4,6.6,9.4,1,extra_large_clamp,extra_large_clamp
n4_scene0032,4,9,6,5,1,34.7,133.3,1,extra_large_clamp,extra_large_clamp
n4_scene0032,4,11,7,0,7,0.4,4.4,0,extra_large_clamp,adjustable_wrench
n4_scene0032,4,12,7,4,3,4.4,44.0,1,extra_large_clamp,extra_large_clamp
n4_scene0032,11,12,7,0,7,4.4,9.8,0,adjustable_wrench,extra_large_clamp
n4_scene0032,9,11,1,0,1,3.5,3.5,0,extra_large_clamp,adjustable_wrench
n4_scene0032,4,10,1,1,0,451.4,451.4,0,extra_large_clamp,apple
n4_scene0032,10,12,2,1,1,4.5,228.9,0,apple,extra_large_clamp
n4_scene0032,2,10,1,1,0,426.0,426.0,1,apple,apple
n4_scene0032,9,10,1,0,1,17.1,17.1,0,extra_large_clamp,apple
n4_scene0032,7,9,1,0,1,0.7,0.7,0,flat_screwdriver,extra_large_clamp
n4_scene0032,4,8,2,2,0,70.8,78.7,1,extra_large_clamp,extra_large_clamp
n4_scene0032,8,9,2,2,0,63.4,256.7,1,extra_large_clamp,extra_large_clamp
n4_scene0032,8,10,2,0,2,1.5,1.7,0,extra_large_clamp,apple
n4_scene0032,4,5,1,0,1,20.1,20.1,0,extra_large_clamp,flat_screwdriver
n4_scene0032,5,12,1,0,1,9.6,9.6,0,flat_screwdriver,extra_large_clamp
n4_scene0032,5,11,1,0,1,4.0,4.0,0,flat_screwdriver,adjustable_wrench
n4_scene0032,8,12,1,0,1,5.8,5.8,1,extra_large_clamp,extra_large_clamp
n4_scene0032,8,11,1,0,1,2.9,2.9,0,extra_large_clamp,adjustable_wrench
n4_scene0033,15,17,10,6,4,6.0,180.6,0,golf_ball,bleach_cleanser
n4_scene0033,3,13,5,4,1,28.4,225.1,0,tuna_fish_can,bleach_cleanser
n4_scene0033,13,16,4,0,4,3.1,6.4,1,bleach_cleanser,bleach_cleanser
n4_scene0033,7,14,3,0,3,8.9,10.1,1,tuna_fish_can,tuna_fish_can
n4_scene0033,1,17,2,2,0,173.7,196.3,0,softball,bleach_cleanser
n4_scene0033,3,15,3,3,0,132.6,276.8,0,tuna_fish_can,golf_ball
n4_scene0033,13,15,9,6,3,9.7,122.4,0,bleach_cleanser,golf_ball
n4_scene0033,13,17,4,4,0,72.1,119.3,1,bleach_cleanser,bleach_cleanser
n4_scene0033,13,14,3,2,1,12.9,108.5,0,bleach_cleanser,tuna_fish_can
n4_scene0033,1,13,1,1,0,208.9,208.9,0,softball,bleach_cleanser
n4_scene0033,1,15,1,1,0,226.0,226.0,0,softball,golf_ball
n4_scene0033,5,13,1,0,1,2.8,2.8,1,bleach_cleanser,bleach_cleanser
n4_scene0034,2,7,5,3,2,5.2,217.1,0,cups,pear
n4_scene0034,7,8,8,7,1,4.3,261.3,0,pear,cups
n4_scene0034,2,8,2,0,2,6.7,13.8,1,cups,cups
n4_scene0034,8,14,1,0,1,21.0,21.0,0,cups,plum
n4_scene0034,8,15,3,0,3,3.0,4.1,1,cups,cups
n4_scene0034,9,11,1,0,1,5.4,5.4,1,bowl,bowl
n4_scene0034,9,12,5,3,2,32.0,43.5,1,bowl,bowl
n4_scene0034,2,9,4,0,4,0.5,6.2,0,cups,bowl
n4_scene0034,9,15,4,0,4,0.5,6.3,0,bowl,cups
n4_scene0034,2,10,6,4,2,6.0,101.8,0,cups,bowl
n4_scene0034,10,15,6,3,3,6.9,85.0,0,bowl,cups
n4_scene0034,7,10,3,0,3,4.3,5.2,0,pear,bowl
n4_scene0034,9,10,3,2,1,1.8,69.7,1,bowl,bowl
n4_scene0034,8,10,3,2,1,6.7,45.7,0,cups,bowl
n4_scene0034,14,15,1,0,1,15.7,15.7,0,plum,cups
n4_scene0034,10,14,1,1,0,143.6,143.6,0,bowl,plum
n4_scene0034,7,15,1,0,1,0.9,0.9,0,pear,cups
n4_scene0034,4,12,1,1,0,91.2,91.2,1,bowl,bowl
n4_scene0034,4,10,1,1,0,536.7,536.7,1,bowl,bowl
n4_scene0034,3,12,1,1,0,91.2,91.2,1,bowl,bowl
n4_scene0034,3,10,1,1,0,536.8,536.8,1,bowl,bowl
n4_scene0035,3,8,4,3,1,12.5,122.5,0,master_chef_can,cups
n4_scene0035,7,8,7,5,2,7.5,65.6,0,master_chef_can,cups
n4_scene0035,3,7,9,8,1,28.7,84.0,1,master_chef_can,master_chef_can
n4_scene0035,2,3,6,6,0,102.7,262.5,0,cups,master_chef_can
n4_scene0035,7,14,6,6,0,49.0,60.2,1,master_chef_can,master_chef_can
n4_scene0035,6,7,1,0,1,5.4,5.4,1,master_chef_can,master_chef_can
n4_scene0035,2,8,4,2,2,2.5,28.3,0,cups,cups
n4_scene0035,3,13,1,1,0,126.6,126.6,1,master_chef_can,master_chef_can
n4_scene0035,8,13,1,1,0,339.1,339.1,0,cups,master_chef_can
n4_scene0035,13,14,1,1,0,124.6,124.6,1,master_chef_can,master_chef_can
n4_scene0035,3,9,1,0,1,12.3,12.3,0,master_chef_can,knife
n4_scene0036,9,12,1,1,0,59.5,59.5,1,pitcher_base,pitcher_base
n4_scene0036,3,12,1,1,0,308.7,308.7,0,spoon,pitcher_base
n4_scene0036,9,15,2,2,0,216.0,234.6,0,pitcher_base,spoon
n4_scene0036,3,7,2,0,2,6.1,15.9,0,spoon,plate
n4_scene0036,7,11,2,0,2,10.0,12.2,1,plate,plate
n4_scene0036,7,14,2,0,2,7.5,11.0,1,plate,plate
n4_scene0036,11,15,1,1,0,252.4,252.4,0,plate,spoon
n4_scene0036,14,15,2,1,1,39.9,98.8,0,plate,spoon
n4_scene0036,8,9,5,3,2,22.8,64.9,1,pitcher_base,pitcher_base
n4_scene0036,3,8,1,1,0,223.0,223.0,0,spoon,pitcher_base
n4_scene0036,8,10,1,1,0,55.4,55.4,1,pitcher_base,pitcher_base
n4_scene0036,8,15,1,1,0,182.1,182.1,0,pitcher_base,spoon
n4_scene0036,8,13,1,1,0,218.3,218.3,0,pitcher_base,spoon
n4_scene0036,3,9,1,1,0,222.5,222.5,0,spoon,pitcher_base
n4_scene0036,9,10,1,1,0,116.4,116.4,1,pitcher_base,pitcher_base
n4_scene0036,4,7,1,0,1,20.1,20.1,1,plate,plate
n4_scene0036,4,11,1,0,1,20.1,20.1,1,plate,plate
n4_scene0036,3,4,1,0,1,16.2,16.2,0,spoon,plate
n4_scene0036,4,14,1,0,1,11.6,11.6,1,plate,plate
n4_scene0036,4,15,1,1,0,50.2,50.2,0,plate,spoon
n4_scene0036,3,14,1,1,0,122.4,122.4,0,spoon,plate
n4_scene0037,1,12,7,4,3,1.1,135.6,0,pudding_box,fork
n4_scene0037,1,7,1,1,0,110.0,110.0,0,pudding_box,scissors
n4_scene0037,9,12,1,1,0,107.8,107.8,0,scissors,fork
n4_scene0037,7,9,2,0,2,20.9,21.7,1,scissors,scissors
n4_scene0037,7,11,2,0,2,3.1,3.6,0,scissors,fork
n4_scene0037,10,12,8,1,7,2.8,8.1,0,scissors,fork
n4_scene0037,6,9,1,1,0,93.1,93.1,0,pudding_box,scissors
n4_scene0037,7,12,1,0,1,3.0,3.0,0,scissors,fork
n4_scene0037,11,12,4,0,4,0.4,2.4,1,fork,fork
n4_scene0037,7,10,3,0,3,4.6,14.6,1,scissors,scissors
n4_scene0037,12,19,1,0,1,30.7,30.7,0,fork,pudding_box
n4_scene0038,2,5,1,1,0,208.9,208.9,0,banana,large_clamp
n4_scene0038,7,11,2,2,0,41.6,61.7,0,mini_soccer_ball,large_clamp
n4_scene0038,5,11,2,1,1,10.8,235.8,1,large_clamp,large_clamp
n4_scene0038,3,5,2,0,2,3.8,13.0,0,peach,large_clamp
n4_scene0038,3,8,3,0,3,6.0,7.6,0,peach,mini_soccer_ball
n4_scene0038,5,8,1,1,0,289.8,289.8,0,large_clamp,mini_soccer_ball
n4_scene0038,8,11,1,0,1,1.5,1.5,0,mini_soccer_ball,large_clamp
n4_scene0038,8,9,3,3,0,40.7,41.5,0,mini_soccer_ball,large_clamp
n4_scene0038,7,8,1,0,1,2.3,2.3,1,mini_soccer_ball,mini_soccer_ball
n4_scene0038,9,11,2,0,2,1.3,4.5,1,large_clamp,large_clamp
n4_scene0039,2,4,1,1,0,98.6,98.6,0,cups,wood_block
n4_scene0039,4,9,4,4,0,56.6,78.9,0,wood_block,cups
n4_scene0039,7,10,1,1,0,325.0,325.0,0,large_marker,wood_block
n4_scene0039,1,4,1,0,1,24.7,24.7,1,wood_block,wood_block
n4_scene0039,4,10,1,0,1,21.5,21.5,1,wood_block,wood_block
n4_scene0040,13,16,8,8,0,58.5,163.9,1,power_drill,power_drill
n4_scene0040,14,16,10,6,4,3.6,104.7,1,power_drill,power_drill
n4_scene0040,13,14,8,7,1,24.4,100.4,1,power_drill,power_drill
n4_scene0040,7,16,1,1,0,213.6,213.6,1,power_drill,power_drill
n4_scene0040,7,14,1,1,0,165.4,165.4,1,power_drill,power_drill
n4_scene0040,13,17,1,0,1,3.3,3.3,1,power_drill,power_drill
n4_scene0041,13,14,2,2,0,52.6,66.4,1,cups,cups
n4_scene0041,1,11,2,2,0,43.2,85.3,1,tomato_soup_can,tomato_soup_can
n4_scene0041,3,14,3,3,0,84.8,106.4,0,phillips_screwdriver,cups
n4_scene0041,3,11,8,7,1,26.4,115.6,0,phillips_screwdriver,tomato_soup_can
n4_scene0041,11,12,10,7,3,11.4,73.2,0,tomato_soup_can,cups
n4_scene0041,11,14,2,1,1,9.7,108.7,0,tomato_soup_can,cups
n4_scene0041,3,13,4,3,1,16.8,46.0,0,phillips_screwdriver,cups
n4_scene0041,12,13,4,1,3,0.4,21.4,1,cups,cups
n4_scene0041,1,3,1,1,0,172.1,172.1,0,tomato_soup_can,phillips_screwdriver
n4_scene0041,10,12,1,0,1,4.7,4.7,0,phillips_screwdriver,cups
n4_scene0041,1,12,1,1,0,146.4,146.4,0,tomato_soup_can,cups
n4_scene0041,2,11,3,2,1,20.7,144.3,1,tomato_soup_can,tomato_soup_can
n4_scene0041,4,12,4,2,2,19.9,38.0,1,cups,cups
n4_scene0041,11,15,1,0,1,21.4,21.4,0,tomato_soup_can,cups
n4_scene0041,12,15,1,1,0,47.4,47.4,1,cups,cups
n4_scene0041,3,12,2,0,2,11.1,19.3,0,phillips_screwdriver,cups
n4_scene0041,4,11,3,2,1,21.0,92.5,0,cups,tomato_soup_can
n4_scene0041,12,14,2,1,1,31.1,127.0,1,cups,cups
n4_scene0041,4,14,1,0,1,2.3,2.3,1,cups,cups
n4_scene0042,12,14,2,0,2,4.8,5.0,1,cups,cups
n4_scene0042,4,10,5,4,1,8.2,91.9,1,cups,cups
n4_scene0042,10,11,2,1,1,4.1,80.3,0,cups,medium_clamp
n4_scene0042,10,14,5,2,3,17.0,28.6,1,cups,cups
n4_scene0042,4,12,1,1,0,295.9,295.9,1,cups,cups
n4_scene0042,2,12,4,1,3,1.5,2.0,0,gelatin_box,cups
n4_scene0042,7,12,1,0,1,5.1,5.1,0,gelatin_box,cups
n4_scene0042,2,4,3,0,3,1.0,1.4,0,gelatin_box,cups
n4_scene0042,10,12,4,2,2,10.8,65.0,1,cups,cups
n4_scene0042,10,13,4,4,0,186.9,266.9,0,cups,foam_brick
n4_scene0042,11,12,1,0,1,8.2,8.2,0,medium_clamp,cups
n4_scene0043,9,16,1,1,0,158.9,158.9,0,orange,potted_meat_can
n4_scene0043,1,9,1,1,0,158.2,158.2,0,potted_meat_can,orange
n4_scene0043,3,6,4,0,4,3.1,10.9,1,sugar_box,sugar_box
n4_scene0043,11,14,6,0,6,4.9,6.0,1,potted_meat_can,potted_meat_can
n4_scene0043,10,17,4,2,2,13.8,107.0,1,cups,cups
n4_scene0043,9,10,6,4,2,6.1,111.1,0,orange,cups
n4_scene0043,1,14,1,0,1,5.7,5.7,1,potted_meat_can,potted_meat_can
n4_scene0043,10,16,4,1,3,0.3,10.2,0,cups,potted_meat_can
n4_scene0043,14,17,1,0,1,15.7,15.7,0,potted_meat_can,cups
n4_scene0043,3,16,1,1,0,327.3,327.3,0,sugar_box,potted_meat_can
n4_scene0043,2,14,1,0,1,2.4,2.4,1,potted_meat_can,potted_meat_can
n4_scene0043,4,18,1,0,1,7.1,7.1,1,sugar_box,sugar_box
n4_scene0043,3,4,1,0,1,1.6,1.6,1,sugar_box,sugar_box
n4_scene0044,6,11,1,1,0,170.8,170.8,0,mug,padlock
n4_scene0044,12,16,1,0,1,2.5,2.5,1,rubiks_cube,rubiks_cube
n4_scene0044,11,14,5,0,5,3.4,4.0,1,padlock,padlock
n4_scene0044,5,15,1,0,1,13.2,13.2,0,mug,padlock
n4_scene0044,11,15,1,1,0,41.6,41.6,1,padlock,padlock
n4_scene0044,5,6,1,0,1,15.8,15.8,1,mug,mug
n4_scene0044,10,14,1,0,1,6.6,6.6,0,rubiks_cube,padlock
n4_scene0044,14,15,1,1,0,214.0,214.0,1,padlock,padlock
n4_scene0046,19,23,1,1,0,182.9,182.9,0,cracker_box,cups
n4_scene0046,6,22,2,2,0,290.9,307.7,1,mustard_bottle,mustard_bottle
n4_scene0046,6,23,5,5,0,216.9,348.6,0,mustard_bottle,cups
n4_scene0046,7,23,2,1,1,27.9,213.3,0,mustard_bottle,cups
n4_scene0046,18,19,1,1,0,41.3,41.3,1,cracker_box,cracker_box
n4_scene0046,8,18,1,1,0,284.9,284.9,1,cracker_box,cracker_box
n4_scene0046,7,21,3,3,0,357.0,386.7,0,mustard_bottle,nine_hole_peg_test
n4_scene0046,8,21,4,4,0,56.7,343.8,0,cracker_box,nine_hole_peg_test
n4_scene0046,7,20,7,2,5,12.3,37.6,0,mustard_bottle,nine_hole_peg_test
n4_scene0046,6,7,6,6,0,59.3,117.3,1,mustard_bottle,mustard_bottle
n4_scene0046,17,19,1,0,1,2.3,2.3,1,cracker_box,cracker_box
n4_scene0046,8,17,10,9,1,37.4,176.8,1,cracker_box,cracker_box
n4_scene0046,8,19,3,3,0,314.7,539.4,1,cracker_box,cracker_box
n4_scene0046,19,22,1,1,0,76.5,76.5,0,cracker_box,mustard_bottle
n4_scene0046,6,19,1,0,1,26.6,26.6,0,mustard_bottle,cracker_box
n4_scene0046,7,19,1,0,1,11.8,11.8,0,mustard_bottle,cracker_box
n4_scene0046,7,22,1,1,0,330.5,330.5,1,mustard_bottle,mustard_bottle
n4_scene0046,8,22,1,1,0,446.9,446.9,0,cracker_box,mustard_bottle
n4_scene0046,20,21,1,0,1,5.2,5.2,1,nine_hole_peg_test,nine_hole_peg_test
n4_scene0046,7,17,3,3,0,49.9,70.2,0,mustard_bottle,cracker_box
n4_scene0046,8,20,1,1,0,454.6,454.6,0,cracker_box,nine_hole_peg_test
n4_scene0046,6,18,2,2,0,107.7,112.1,0,mustard_bottle,cracker_box
n4_scene0046,7,18,2,2,0,68.7,70.2,0,mustard_bottle,cracker_box
n4_scene0046,6,17,1,1,0,125.3,125.3,0,mustard_bottle,cracker_box
n4_scene0047,4,10,4,3,1,12.1,68.4,1,cups,cups
n4_scene0047,4,12,3,2,1,19.2,193.3,0,cups,cups
n4_scene0047,10,12,2,2,0,192.0,261.4,0,cups,cups
n4_scene0047,7,12,2,2,0,50.2,159.8,0,orange,cups
n4_scene0047,3,10,2,0,2,5.5,19.9,0,cups,cups
n4_scene0047,3,12,1,0,1,5.6,5.6,1,cups,cups
n4_scene0048,2,3,2,2,0,68.7,329.1,1,cups,cups
n4_scene0048,3,6,2,1,1,4.0,36.4,1,cups,cups
n4_scene0048,2,8,3,1,2,1.8,11.2,1,cups,cups
n4_scene0048,6,8,2,1,1,11.5,40.4,1,cups,cups
n4_scene0048,8,9,6,3,3,4.9,38.0,1,cups,cups
n4_scene0048,7,9,2,0,2,1.7,11.1,1,cups,cups
n4_scene0048,7,8,2,0,2,0.2,1.4,1,cups,cups
n4_scene0048,2,9,2,0,2,1.8,6.1,1,cups,cups
n4_scene0048,6,9,2,0,2,1.9,5.3,1,cups,cups
n4_scene0048,6,12,1,0,1,6.5,6.5,1,cups,cups
n4_scene0048,6,7,1,1,0,122.2,122.2,1,cups,cups
n4_scene0048,3,9,1,0,1,19.2,19.2,1,cups,cups
n4_scene0048,3,12,1,0,1,1.1,1.1,1,cups,cups
n4_scene0048,3,7,1,0,1,6.2,6.2,1,cups,cups
n4_scene0048,9,12,1,0,1,3.3,3.3,1,cups,cups
n4_scene0049,6,8,4,4,0,47.2,105.9,1,cracker_box,cracker_box
n4_scene0049,4,17,2,0,2,2.0,2.5,1,cracker_box,cracker_box
n4_scene0049,4,8,2,0,2,0.8,8.3,1,cracker_box,cracker_box
n4_scene0049,16,17,1,1,0,543.8,543.8,0,medium_clamp,cracker_box
n4_scene0049,12,15,3,0,3,2.7,4.6,1,tuna_fish_can,tuna_fish_can
n4_scene0049,12,17,1,1,0,167.0,167.0,0,tuna_fish_can,cracker_box
n4_scene0049,5,7,1,1,0,50.1,50.1,0,medium_clamp,cracker_box
n4_scene0049,7,12,3,3,0,88.7,159.3,0,cracker_box,tuna_fish_can
n4_scene0049,3,5,1,1,0,116.7,116.7,0,cups,medium_clamp
n4_scene0049,3,12,1,1,0,106.7,106.7,0,cups,tuna_fish_can
n4_scene0049,3,16,1,1,0,52.8,52.8,0,cups,medium_clamp
n4_scene0049,5,6,1,0,1,30.2,30.2,0,medium_clamp,cracker_box
n4_scene0049,5,14,1,1,0,116.3,116.3,0,medium_clamp,cups
n4_scene0049,5,12,1,1,0,715.1,715.1,0,medium_clamp,tuna_fish_can
n4_scene0049,5,16,3,2,1,17.9,68.2,1,medium_clamp,medium_clamp
n4_scene0049,6,17,2,0,2,7.3,9.0,1,cracker_box,cracker_box
n4_scene0049,12,14,1,1,0,106.4,106.4,0,tuna_fish_can,cups
n4_scene0049,14,16,3,2,1,27.7,52.6,0,cups,medium_clamp
n4_scene0049,12,16,1,1,0,66.1,66.1,0,tuna_fish_can,medium_clamp
n4_scene0049,8,17,1,0,1,0.1,0.1,1,cracker_box,cracker_box
n4_scene0049,7,15,1,1,0,173.2,173.2,0,cracker_box,tuna_fish_can
n4_scene0049,7,16,1,1,0,158.2,158.2,0,cracker_box,medium_clamp
n4_scene0049,3,14,2,2,0,183.5,185.6,1,cups,cups
n4_scene0049,4,14,1,1,0,222.8,222.8,0,cracker_box,cups
n4_scene0049,7,10,1,1,0,329.9,329.9,1,cracker_box,cracker_box
n4_scene0049,7,14,1,1,0,218.0,218.0,0,cracker_box,cups
n4_scene0049,9,10,1,0,1,3.3,3.3,1,cracker_box,cracker_box
n4_scene0050,9,10,6,0,6,6.9,9.0,1,flat_screwdriver,flat_screwdriver
n4_scene0050,3,4,2,2,0,158.9,192.1,0,baseball,cups
n4_scene0050,3,14,1,1,0,362.6,362.6,0,baseball,flat_screwdriver
n4_scene0050,4,14,2,1,1,2.1,203.1,0,cups,flat_screwdriver
n4_scene0050,10,14,2,0,2,5.0,6.8,1,flat_screwdriver,flat_screwdriver
n4_scene0050,3,6,3,0,3,8.6,19.4,1,baseball,baseball
n4_scene0050,6,13,3,0,3,0.3,6.2,1,baseball,baseball
n4_scene0050,6,14,2,0,2,5.2,8.9,0,baseball,flat_screwdriver
