class,shoulder,plane_med,zov,objA,objB,scene
並排有縫,0.5980392156862745,277.1,0.0,sugar_box,potted_meat_can,n4_scene0053
同物過切,0.46341463414634143,14.2,0.0,sugar_box,sugar_box,n4_scene0053
同物過切,0.29032258064516125,22.4,1.0,power_drill,power_drill,n4_scene0053
並排有縫,0.5333333333333333,91.6,1.0,power_drill,sugar_box,n4_scene0053
同物過切,0.5569620253164558,5.0,0.4,potted_meat_can,potted_meat_can,n4_scene0053
並排有縫,0.7586206896551724,86.2,1.0,power_drill,sugar_box,n4_scene0053
同物過切,0.6818181818181819,11.9,1.0,sugar_box,sugar_box,n4_scene0053
同物過切,0.9375,12.8,0.67,master_chef_can,master_chef_can,n4_scene0054
並排有縫,0.22580645161290325,88.1,0.89,golf_ball,peach,n4_scene0055
並排有縫,0.4,193.4,1.0,mustard_bottle,scissors,n4_scene0056
同物過切,0.7623762376237624,6.3,1.0,scissors,scissors,n4_scene0056
同物過切,0.504950495049505,4.7,1.0,scissors,scissors,n4_scene0056
並排有縫,0.125,175.1,1.0,mustard_bottle,scissors,n4_scene0056
並排有縫,0.0,142.9,1.0,tomato_soup_can,sponge,n4_scene0058
同物過切,0.33333333333333337,8.4,0.33,tomato_soup_can,tomato_soup_can,n4_scene0058
同物過切,0.4693877551020408,1.8,1.0,phillips_screwdriver,phillips_screwdriver,n4_scene0058
同物過切,0.6333333333333333,5.6,0.0,bleach_cleanser,bleach_cleanser,n4_scene0059
並排有縫,0.2093023255813954,281.7,1.0,wood_block,nine_hole_peg_test,n4_scene0059
並排有縫,0.8777777777777778,217.4,0.0,wood_block,bleach_cleanser,n4_scene0059
並排有縫,0.9534883720930233,277.9,1.0,nine_hole_peg_test,wood_block,n4_scene0059
並排有縫,0.6176470588235294,189.6,1.0,wood_block,bleach_cleanser,n4_scene0059
同物過切,0.6555555555555556,1.0,0.4,wood_block,wood_block,n4_scene0059
並排有縫,0.92,280.9,1.0,wood_block,nine_hole_peg_test,n4_scene0059
並排有縫,0.7222222222222222,286.5,0.0,wood_block,nine_hole_peg_test,n4_scene0059
並排有縫,0.5222222222222221,258.4,0.0,nine_hole_peg_test,wood_block,n4_scene0059
同物過切,0.40476190476190477,10.0,1.0,nine_hole_peg_test,nine_hole_peg_test,n4_scene0059
同物過切,0.25,11.6,1.0,foam_brick,foam_brick,n4_scene0060
同物過切,0.38095238095238093,6.4,1.0,rubiks_cube,rubiks_cube,n4_scene0061
並排有縫,0.29850746268656714,156.9,1.0,mini_soccer_ball,cups,n4_scene0061
同物過切,0.7391304347826086,11.5,0.29,master_chef_can,master_chef_can,n5_scene0001
同物過切,0.7478260869565218,4.4,1.0,scissors,scissors,n5_scene0001
並排有縫,0.5797101449275363,181.7,1.0,master_chef_can,bleach_cleanser,n5_scene0001
同物過切,0.30000000000000004,5.4,0.2,bleach_cleanser,bleach_cleanser,n5_scene0001
同物過切,0.0,13.6,0.0,bleach_cleanser,bleach_cleanser,n5_scene0001
同物過切,0.19047619047619047,21.3,0.57,bleach_cleanser,bleach_cleanser,n5_scene0001
並排有縫,0.1428571428571429,146.8,1.0,master_chef_can,bleach_cleanser,n5_scene0001
同物過切,0.8695652173913043,1.0,1.0,master_chef_can,master_chef_can,n5_scene0001
並排有縫,0.5625,151.1,1.0,cups,power_drill,n5_scene0002
並排有縫,0.5211267605633803,144.7,0.33,power_drill,cups,n5_scene0002
同物過切,0.7941176470588236,8.0,1.0,cups,cups,n5_scene0002
並排有縫,0.323943661971831,147.6,1.0,power_drill,cups,n5_scene0002
並排有縫,0.368421052631579,83.4,1.0,cups,mug,n5_scene0002
同物過切,0.2777777777777778,2.2,1.0,rubiks_cube,rubiks_cube,n5_scene0002
並排有縫,0.38235294117647056,137.1,0.67,cups,power_drill,n5_scene0002
同物過切,0.35443037974683544,8.8,0.5,cups,cups,n5_scene0003
同物過切,0.5,4.7,0.89,cracker_box,cracker_box,n5_scene0003
並排有縫,0.04081632653061229,79.5,1.0,cups,plate,n5_scene0003
並排有縫,0.620253164556962,183.4,0.17,cups,foam_brick,n5_scene0003
同物過切,0.4067796610169492,27.9,0.29,nine_hole_peg_test,nine_hole_peg_test,n5_scene0004
同物過切,0.5571428571428572,24.2,1.0,nine_hole_peg_test,nine_hole_peg_test,n5_scene0004
並排有縫,0.7029702970297029,143.4,1.0,softball,large_clamp,n5_scene0004
同物過切,0.45999999999999996,27.9,1.0,nine_hole_peg_test,nine_hole_peg_test,n5_scene0004
並排有縫,0.55,197.0,1.0,cups,mustard_bottle,n5_scene0005
並排有縫,0.01666666666666672,187.1,1.0,mustard_bottle,cups,n5_scene0005
同物過切,0.5,6.3,0.67,cups,cups,n5_scene0005
並排有縫,0.18367346938775508,99.8,1.0,cups,lemon,n5_scene0005
並排有縫,0.23529411764705888,223.0,1.0,extra_large_clamp,sugar_box,n5_scene0006
同物過切,0.8181818181818181,19.7,0.31,sugar_box,sugar_box,n5_scene0006
同物過切,0.7045454545454546,10.6,0.0,sugar_box,sugar_box,n5_scene0006
同物過切,0.0,26.2,0.69,sugar_box,sugar_box,n5_scene0006
同物過切,0.43181818181818177,10.2,0.07,sugar_box,sugar_box,n5_scene0006
並排有縫,0.6153846153846154,223.0,1.0,extra_large_clamp,sugar_box,n5_scene0006
並排有縫,0.46153846153846156,256.3,0.8,mini_soccer_ball,extra_large_clamp,n5_scene0006
同物過切,0.42553191489361697,8.5,0.2,cups,cups,n5_scene0007
並排有縫,0.5283018867924528,414.9,1.0,tuna_fish_can,pitcher_base,n5_scene0008
並排有縫,0.37735849056603776,122.5,1.0,pitcher_base,medium_clamp,n5_scene0008
同物過切,0.3902439024390244,11.3,0.67,tuna_fish_can,tuna_fish_can,n5_scene0008
並排有縫,0.5405405405405406,54.4,1.0,peach,strawberry,n5_scene0009
同物過切,0.4117647058823529,14.1,1.0,orange,orange,n5_scene0010
同物過切,0.14,0.8,1.0,fork,fork,n5_scene0010
同物過切,0.03508771929824561,1.6,0.67,knife,knife,n5_scene0010
並排有縫,0.8,79.4,1.0,fork,orange,n5_scene0010
並排有縫,0.25,82.1,1.0,phillips_screwdriver,wood_block,n5_scene0011
同物過切,0.7325581395348837,22.9,1.0,wood_block,wood_block,n5_scene0011
同物過切,0.8837209302325582,22.9,0.0,wood_block,wood_block,n5_scene0011
同物過切,0.6545454545454545,3.1,0.8,tomato_soup_can,tomato_soup_can,n5_scene0012
並排有縫,0.8200000000000001,103.6,1.0,cups,apple,n5_scene0012
同物過切,0.7283950617283951,14.0,0.2,potted_meat_can,potted_meat_can,n5_scene0012
同物過切,0.8271604938271605,4.1,0.2,potted_meat_can,potted_meat_can,n5_scene0012
同物過切,0.2195121951219512,4.2,1.0,cups,cups,n5_scene0014
同物過切,0.26086956521739135,8.6,0.0,bleach_cleanser,bleach_cleanser,n5_scene0014
並排有縫,0.7023809523809523,44.5,1.0,bleach_cleanser,cups,n5_scene0014
同物過切,0.8333333333333334,18.6,0.0,bleach_cleanser,bleach_cleanser,n5_scene0014
並排有縫,0.0,2.0,0.0,cups,bleach_cleanser,n5_scene0014
同物過切,0.43333333333333335,6.3,0.4,bleach_cleanser,bleach_cleanser,n5_scene0014
同物過切,0.5714285714285714,14.7,0.0,bleach_cleanser,bleach_cleanser,n5_scene0014
並排有縫,0.3421052631578947,152.3,1.0,cups,bleach_cleanser,n5_scene0014
並排有縫,0.734375,204.7,1.0,master_chef_can,cups,n5_scene0014
同物過切,0.85,3.2,1.0,cups,cups,n5_scene0015
同物過切,0.13043478260869568,12.5,0.71,cups,cups,n5_scene0015
同物過切,0.7272727272727273,8.1,1.0,cups,cups,n5_scene0015
並排有縫,0.3846153846153846,105.3,1.0,cups,padlock,n5_scene0015
並排有縫,0.75,81.0,1.0,cups,padlock,n5_scene0015
並排有縫,0.9333333333333333,158.6,0.25,mini_soccer_ball,cracker_box,n5_scene0016
同物過切,0.6666666666666667,7.8,0.96,cracker_box,cracker_box,n5_scene0016
並排有縫,0.6799999999999999,145.9,0.85,mini_soccer_ball,cracker_box,n5_scene0016
並排有縫,0.9259259259259259,158.6,1.0,mini_soccer_ball,cracker_box,n5_scene0016
並排有縫,0.2702702702702703,115.9,1.0,mini_soccer_ball,racquetball,n5_scene0016
並排有縫,0.06896551724137934,110.1,1.0,mini_soccer_ball,golf_ball,n5_scene0016
並排有縫,0.8148148148148149,169.4,1.0,mini_soccer_ball,cracker_box,n5_scene0016
同物過切,0.07407407407407407,7.8,1.0,adjustable_wrench,adjustable_wrench,n5_scene0017
同物過切,0.9659090909090909,1.8,0.4,wood_block,wood_block,n5_scene0019
同物過切,0.28409090909090906,4.5,0.4,wood_block,wood_block,n5_scene0019
並排有縫,0.546875,123.9,1.0,pudding_box,wood_block,n5_scene0019
並排有縫,0.7049180327868853,251.6,0.83,pitcher_base,sponge,n5_scene0020
並排有縫,0.33333333333333337,138.6,1.0,tomato_soup_can,softball,n5_scene0021
並排有縫,0.3870967741935484,61.9,1.0,tomato_soup_can,power_drill,n5_scene0021
並排有縫,0.5625,44.1,1.0,power_drill,nine_hole_peg_test,n5_scene0021
並排有縫,0.11111111111111116,13.5,1.0,nine_hole_peg_test,power_drill,n5_scene0021
並排有縫,0.7741935483870968,77.7,1.0,power_drill,tomato_soup_can,n5_scene0021
並排有縫,0.3414634146341463,29.8,1.0,nine_hole_peg_test,power_drill,n5_scene0021
並排有縫,0.22499999999999998,117.8,1.0,tomato_soup_can,nine_hole_peg_test,n5_scene0021
並排有縫,0.3191489361702128,116.1,0.5,tomato_soup_can,softball,n5_scene0021
並排有縫,0.33333333333333337,41.3,1.0,power_drill,nine_hole_peg_test,n5_scene0021
並排有縫,0.22580645161290325,73.0,1.0,power_drill,tomato_soup_can,n5_scene0021
同物過切,0.6,13.5,1.0,nine_hole_peg_test,nine_hole_peg_test,n5_scene0021
並排有縫,0.24390243902439024,116.1,1.0,nine_hole_peg_test,tomato_soup_can,n5_scene0021
同物過切,0.20512820512820518,42.9,0.92,power_drill,power_drill,n5_scene0021
並排有縫,0.32499999999999996,25.2,0.71,nine_hole_peg_test,power_drill,n5_scene0021
同物過切,0.3076923076923077,15.4,0.83,power_drill,power_drill,n5_scene0021
同物過切,0.5714285714285714,14.8,1.0,apple,apple,n5_scene0022
同物過切,0.3589743589743589,6.4,1.0,cups,cups,n5_scene0023
並排有縫,0.28260869565217395,149.0,0.5,mug,plate,n5_scene0023
同物過切,0.788235294117647,18.3,0.57,tuna_fish_can,tuna_fish_can,n5_scene0024
同物過切,0.7843137254901961,13.3,0.0,sugar_box,sugar_box,n5_scene0024
並排有縫,0.2549019607843137,359.9,0.0,sugar_box,tuna_fish_can,n5_scene0024
同物過切,0.5882352941176471,13.3,0.0,sugar_box,sugar_box,n5_scene0024
同物過切,0.9607843137254902,11.0,0.0,sugar_box,sugar_box,n5_scene0024
同物過切,0.7058823529411764,11.0,0.0,sugar_box,sugar_box,n5_scene0024
同物過切,0.8169014084507042,11.5,0.44,master_chef_can,master_chef_can,n5_scene0025
並排有縫,0.8,159.4,0.0,master_chef_can,potted_meat_can,n5_scene0025
同物過切,0.9420289855072463,27.1,0.91,pitcher_base,pitcher_base,n5_scene0025
同物過切,0.40740740740740744,6.9,0.29,potted_meat_can,potted_meat_can,n5_scene0025
同物過切,0.9639175257731959,29.8,1.0,wood_block,wood_block,n5_scene0026
並排有縫,0.21666666666666667,169.5,1.0,peach,wood_block,n5_scene0026
並排有縫,0.5974025974025974,96.2,1.0,cups,bleach_cleanser,n5_scene0026
同物過切,0.19277108433734935,3.1,0.86,cups,cups,n5_scene0027
並排有縫,0.9191919191919192,64.6,0.0,nine_hole_peg_test,bowl,n5_scene0028
同物過切,0.46153846153846156,3.5,0.7,cups,cups,n5_scene0028
並排有縫,0.8904109589041096,79.9,0.57,nine_hole_peg_test,bowl,n5_scene0028
並排有縫,0.8181818181818181,80.4,0.0,nine_hole_peg_test,bowl,n5_scene0028
同物過切,0.7567567567567568,0.7,0.67,cups,cups,n5_scene0028
同物過切,0.7373737373737373,4.0,1.0,nine_hole_peg_test,nine_hole_peg_test,n5_scene0028
並排有縫,0.25,64.6,0.92,nine_hole_peg_test,bowl,n5_scene0028
同物過切,0.04040404040404044,18.2,1.0,nine_hole_peg_test,nine_hole_peg_test,n5_scene0028
並排有縫,0.5416666666666667,80.4,0.92,nine_hole_peg_test,bowl,n5_scene0028
同物過切,0.5,4.0,0.71,nine_hole_peg_test,nine_hole_peg_test,n5_scene0028
同物過切,0.8493150684931507,18.2,0.71,nine_hole_peg_test,nine_hole_peg_test,n5_scene0028
同物過切,0.7755102040816326,8.8,1.0,scissors,scissors,n5_scene0030
同物過切,0.6666666666666667,10.5,0.13,sugar_box,sugar_box,n5_scene0030
同物過切,0.4444444444444444,77.4,1.0,plate,plate,n5_scene0030
並排有縫,0.5,47.6,1.0,orange,foam_brick,n5_scene0031
同物過切,0.4285714285714286,25.9,1.0,cups,cups,n5_scene0032
並排有縫,0.9914163090128756,179.2,0.0,cracker_box,extra_large_clamp,n5_scene0033
並排有縫,0.92,150.9,1.0,baseball,cracker_box,n5_scene0033
同物過切,0.8,2.2,1.0,cracker_box,cracker_box,n5_scene0033
同物過切,0.7777777777777778,2.2,0.42,cracker_box,cracker_box,n5_scene0033
並排有縫,0.9141630901287554,161.0,0.5,cracker_box,extra_large_clamp,n5_scene0033
並排有縫,0.8461538461538461,174.6,1.0,cracker_box,mini_soccer_ball,n5_scene0033
同物過切,0.55,2.3,0.89,cracker_box,cracker_box,n5_scene0033
並排有縫,0.9851851851851852,174.6,0.33,cracker_box,mini_soccer_ball,n5_scene0033
並排有縫,0.9545454545454546,151.6,0.0,baseball,cracker_box,n5_scene0033
並排有縫,0.7854077253218884,179.2,1.0,cracker_box,extra_large_clamp,n5_scene0033
同物過切,0.5789473684210527,25.7,0.62,tuna_fish_can,tuna_fish_can,n5_scene0034
並排有縫,0.6274509803921569,60.7,1.0,mustard_bottle,tuna_fish_can,n5_scene0034
同物過切,0.7567567567567568,12.9,0.83,rubiks_cube,rubiks_cube,n5_scene0034
同物過切,0.4347826086956522,5.1,1.0,mustard_bottle,mustard_bottle,n5_scene0034
同物過切,0.5294117647058824,1.2,0.9,cups,cups,n5_scene0034
並排有縫,0.27450980392156865,51.4,1.0,mustard_bottle,tuna_fish_can,n5_scene0034
同物過切,0.3793103448275862,9.9,1.0,apple,apple,n5_scene0035
並排有縫,0.5,212.3,0.0,potted_meat_can,golf_ball,n5_scene0036
同物過切,0.5694444444444444,3.7,0.2,potted_meat_can,potted_meat_can,n5_scene0036
同物過切,0.6527777777777778,7.7,0.2,potted_meat_can,potted_meat_can,n5_scene0036
並排有縫,0.02777777777777779,239.0,1.0,potted_meat_can,golf_ball,n5_scene0036
同物過切,0.6213592233009708,12.4,1.0,power_drill,power_drill,n5_scene0037
同物過切,0.18518518518518523,86.1,1.0,power_drill,power_drill,n5_scene0037
同物過切,0.1333333333333333,16.6,1.0,power_drill,power_drill,n5_scene0037
同物過切,0.22857142857142854,67.0,1.0,power_drill,power_drill,n5_scene0037
同物過切,0.21739130434782605,12.2,1.0,apple,apple,n5_scene0038
同物過切,0.10526315789473684,11.6,0.89,orange,orange,n5_scene0038
並排有縫,0.7692307692307692,114.1,1.0,cups,foam_brick,n5_scene0039
同物過切,0.5365853658536586,7.2,0.78,cups,cups,n5_scene0039
同物過切,0.1785714285714286,12.7,0.4,potted_meat_can,potted_meat_can,n5_scene0039
並排有縫,0.2692307692307693,43.1,0.78,cups,cups,n5_scene0039
並排有縫,0.6153846153846154,65.3,1.0,foam_brick,cups,n5_scene0039
同物過切,0.23333333333333328,11.8,0.4,potted_meat_can,potted_meat_can,n5_scene0039
並排有縫,0.8200000000000001,110.0,0.86,tennis_ball,medium_clamp,n5_scene0040
並排有縫,0.5428571428571429,204.3,0.0,bleach_cleanser,cups,n5_scene0042
並排有縫,0.7297297297297297,245.0,0.0,bleach_cleanser,large_clamp,n5_scene0042
並排有縫,0.7948717948717949,102.5,1.0,bleach_cleanser,cups,n5_scene0042
並排有縫,0.13043478260869568,135.4,1.0,cups,extra_large_clamp,n5_scene0042
同物過切,0.22857142857142854,7.7,0.25,bleach_cleanser,bleach_cleanser,n5_scene0042
並排有縫,0.4871794871794872,377.0,1.0,bleach_cleanser,extra_large_clamp,n5_scene0042
並排有縫,0.19565217391304346,157.6,1.0,cups,large_clamp,n5_scene0042
並排有縫,0.05405405405405406,245.3,0.0,bleach_cleanser,large_clamp,n5_scene0042
同物過切,0.8285714285714285,11.3,0.0,bleach_cleanser,bleach_cleanser,n5_scene0042
並排有縫,0.5256410256410257,194.6,1.0,bleach_cleanser,large_clamp,n5_scene0042
並排有縫,0.5,100.3,0.83,bleach_cleanser,cups,n5_scene0042
同物過切,0.7586206896551724,1.9,0.93,cracker_box,cracker_box,n5_scene0043
並排有縫,0.9487179487179487,190.0,1.0,softball,cracker_box,n5_scene0043
並排有縫,0.9545454545454546,317.0,0.05,cracker_box,cups,n5_scene0043
並排有縫,0.4285714285714286,194.3,1.0,cracker_box,strawberry,n5_scene0043
並排有縫,0.9696969696969697,190.0,0.1,softball,cracker_box,n5_scene0043
並排有縫,0.9375,194.3,0.0,cracker_box,strawberry,n5_scene0043
並排有縫,0.9428571428571428,317.0,1.0,cracker_box,cups,n5_scene0043
同物過切,0.46875,13.8,0.07,sugar_box,sugar_box,n5_scene0044
同物過切,0.59375,15.2,0.0,sugar_box,sugar_box,n5_scene0044
並排有縫,0.9518072289156626,277.6,0.3,banana,sugar_box,n5_scene0044
同物過切,0.625,6.1,0.07,sugar_box,sugar_box,n5_scene0044
並排有縫,0.6265060240963856,269.6,1.0,sugar_box,banana,n5_scene0044
並排有縫,0.6144578313253012,264.5,0.0,sugar_box,banana,n5_scene0044
並排有縫,0.9272727272727272,164.9,0.46,peach,sugar_box,n5_scene0044
同物過切,0.09090909090909094,1.6,1.0,mug,mug,n5_scene0045
同物過切,0.2093023255813954,1.5,1.0,fork,fork,n5_scene0046
並排有縫,0.8360655737704918,326.8,1.0,mustard_bottle,master_chef_can,n5_scene0046
同物過切,0.2857142857142857,3.0,1.0,mustard_bottle,mustard_bottle,n5_scene0046
並排有縫,0.42500000000000004,121.5,1.0,cups,mustard_bottle,n5_scene0046
並排有縫,0.050000000000000044,117.3,1.0,cups,mustard_bottle,n5_scene0046
並排有縫,0.06976744186046513,128.2,1.0,knife,mustard_bottle,n5_scene0046
同物過切,0.8260869565217391,11.0,1.0,cups,cups,n5_scene0046
同物過切,0.14,1.9,0.5,knife,knife,n5_scene0046
同物過切,0.4918032786885246,16.8,0.29,master_chef_can,master_chef_can,n5_scene0046
同物過切,0.7286821705426356,10.6,1.0,scissors,scissors,n5_scene0047
並排有縫,0.5851063829787234,162.4,0.0,tomato_soup_can,nine_hole_peg_test,n5_scene0047
並排有縫,0.5319148936170213,174.0,1.0,tomato_soup_can,nine_hole_peg_test,n5_scene0047
同物過切,0.56,6.4,1.0,nine_hole_peg_test,nine_hole_peg_test,n5_scene0047
並排有縫,0.5357142857142857,151.2,1.0,cups,wood_block,n5_scene0048
並排有縫,0.6428571428571428,153.4,1.0,cups,wood_block,n5_scene0048
並排有縫,0.5517241379310345,155.6,0.0,cups,wood_block,n5_scene0048
同物過切,0.19999999999999996,0.7,1.0,wood_block,wood_block,n5_scene0048
並排有縫,0.6551724137931034,127.2,0.0,cups,wood_block,n5_scene0048
並排有縫,0.7586206896551724,252.7,0.0,wood_block,plate,n5_scene0048
同物過切,0.1470588235294118,4.2,0.5,wood_block,wood_block,n5_scene0048
同物過切,0.17142857142857137,6.2,0.5,wood_block,wood_block,n5_scene0048
並排有縫,0.5357142857142857,54.6,1.0,cups,wood_block,n5_scene0048
並排有縫,0.75,220.1,1.0,wood_block,plate,n5_scene0048
並排有縫,0.050000000000000044,52.1,1.0,cups,power_drill,n5_scene0049
並排有縫,0.021739130434782594,182.1,1.0,racquetball,pitcher_base,n5_scene0049
並排有縫,0.7894736842105263,43.8,1.0,power_drill,cups,n5_scene0049
同物過切,0.9148936170212766,2.9,1.0,cups,cups,n5_scene0049
並排有縫,0.021276595744680882,139.9,1.0,cups,pitcher_base,n5_scene0049
同物過切,0.6086956521739131,9.1,1.0,power_drill,power_drill,n5_scene0050
同物過切,0.27450980392156865,18.6,0.29,nine_hole_peg_test,nine_hole_peg_test,n5_scene0050
同物過切,0.6764705882352942,17.5,0.17,nine_hole_peg_test,nine_hole_peg_test,n5_scene0050
同物過切,0.2068965517241379,114.7,1.0,power_drill,power_drill,n5_scene0050
同物過切,0.6891891891891893,27.0,1.0,nine_hole_peg_test,nine_hole_peg_test,n5_scene0050
同物過切,0.7769230769230769,12.4,1.0,scissors,scissors,n5_scene0050
同物過切,0.775,39.9,1.0,mug,mug,n5_scene0051
並排有縫,0.5873015873015873,248.8,1.0,softball,cups,n5_scene0051
並排有縫,0.3846153846153846,89.2,1.0,cups,softball,n5_scene0051
同物過切,0.6595744680851063,9.6,1.0,mug,mug,n5_scene0051
同物過切,0.7115384615384616,1.8,0.0,potted_meat_can,potted_meat_can,n5_scene0052
並排有縫,0.625,83.7,0.0,lemon,potted_meat_can,n5_scene0052
同物過切,0.625,6.5,0.2,potted_meat_can,potted_meat_can,n5_scene0052
並排有縫,0.6153846153846154,84.8,1.0,lemon,potted_meat_can,n5_scene0052
並排有縫,0.19999999999999996,136.4,1.0,plate,orange,n5_scene0053
同物過切,0.6590909090909092,12.3,0.67,wood_block,wood_block,n5_scene0053
同物過切,0.46808510638297873,8.1,1.0,wood_block,wood_block,n5_scene0053
同物過切,0.4,1.7,0.5,wood_block,wood_block,n5_scene0053
同物過切,0.7567567567567568,25.4,0.43,bleach_cleanser,bleach_cleanser,n5_scene0054
同物過切,0.7234042553191489,26.9,0.07,sugar_box,sugar_box,n5_scene0054
並排有縫,0.696,70.1,1.0,cups,extra_large_clamp,n5_scene0056
同物過切,0.5106382978723405,4.5,0.89,cups,cups,n5_scene0056
並排有縫,0.8160000000000001,129.2,0.0,extra_large_clamp,cups,n5_scene0056
並排有縫,0.1694915254237288,107.4,1.0,cups,medium_clamp,n5_scene0056
同物過切,0.2666666666666667,11.1,1.0,tuna_fish_can,tuna_fish_can,n5_scene0057
同物過切,0.26,0.6,0.8,rubiks_cube,rubiks_cube,n5_scene0057
並排有縫,0.8582089552238806,110.1,0.89,banana,tennis_ball,n5_scene0057
同物過切,0.09090909090909094,15.0,1.0,tuna_fish_can,tuna_fish_can,n5_scene0057
並排有縫,0.4864864864864865,202.9,0.92,tennis_ball,rubiks_cube,n5_scene0057
並排有縫,0.3076923076923077,201.9,1.0,pitcher_base,baseball,n5_scene0058
同物過切,0.39655172413793105,2.5,1.0,fork,fork,n5_scene0058
並排有縫,0.46153846153846156,48.7,1.0,pitcher_base,fork,n5_scene0058
並排有縫,0.8615384615384616,128.9,1.0,pitcher_base,adjustable_wrench,n5_scene0058
同物過切,0.5454545454545454,4.1,1.0,padlock,padlock,n5_scene0058
並排有縫,0.8545454545454545,134.6,1.0,cups,foam_brick,n5_scene0059
同物過切,0.2941176470588235,3.5,0.96,cracker_box,cracker_box,n5_scene0059
並排有縫,0.40816326530612246,87.4,1.0,cups,racquetball,n5_scene0059
並排有縫,0.04081632653061229,296.6,1.0,cracker_box,racquetball,n5_scene0059
並排有縫,0.2033898305084746,219.8,1.0,cups,cracker_box,n5_scene0059
並排有縫,0.9452054794520548,175.4,1.0,mini_soccer_ball,master_chef_can,n5_scene0060
同物過切,0.75,17.3,1.0,mini_soccer_ball,mini_soccer_ball,n5_scene0060
並排有縫,0.8904109589041096,175.4,1.0,mini_soccer_ball,master_chef_can,n5_scene0060
同物過切,0.726027397260274,14.8,0.38,master_chef_can,master_chef_can,n5_scene0060
同物過切,0.5925925925925926,3.5,1.0,mustard_bottle,mustard_bottle,n5_scene0061
同物過切,0.12121212121212122,0.2,1.0,wood_block,wood_block,occ3_scene0001
並排有縫,0.8089171974522293,91.3,0.0,bleach_cleanser,wood_block,occ3_scene0001
並排有縫,0.032258064516129004,90.0,1.0,bleach_cleanser,peach,occ3_scene0001
同物過切,0.09090909090909094,38.3,0.0,bleach_cleanser,bleach_cleanser,occ3_scene0001
並排有縫,0.06060606060606055,114.2,1.0,bleach_cleanser,wood_block,occ3_scene0001
同物過切,0.2666666666666667,24.0,0.5,bleach_cleanser,bleach_cleanser,occ3_scene0001
並排有縫,0.24242424242424243,60.4,1.0,bleach_cleanser,wood_block,occ3_scene0001
並排有縫,0.033333333333333326,9.0,0.0,wood_block,bleach_cleanser,occ3_scene0001
並排有縫,0.16666666666666663,126.8,1.0,bleach_cleanser,peach,occ3_scene0001
並排有縫,0.6551724137931034,44.6,0.2,bleach_cleanser,wood_block,occ3_scene0001
同物過切,0.32258064516129037,16.8,0.0,bleach_cleanser,bleach_cleanser,occ3_scene0001
同物過切,0.16666666666666663,10.0,0.0,bleach_cleanser,bleach_cleanser,occ3_scene0001
並排有縫,0.9363057324840764,71.2,0.5,bleach_cleanser,wood_block,occ3_scene0001
並排有縫,0.2142857142857143,75.7,1.0,peach,wood_block,occ3_scene0001
並排有縫,0.5555555555555556,142.1,1.0,apple,cups,occ3_scene0002
並排有縫,0.7142857142857143,43.9,0.91,plum,apple,occ3_scene0002
並排有縫,0.7142857142857143,51.1,0.9,plum,apple,occ3_scene0002
並排有縫,0.08695652173913049,39.9,1.0,plum,mustard_bottle,occ3_scene0003
並排有縫,0.30952380952380953,119.3,1.0,baseball,plum,occ3_scene0003
並排有縫,0.17391304347826086,158.4,1.0,baseball,mustard_bottle,occ3_scene0003
並排有縫,0.36633663366336633,150.0,1.0,pitcher_base,foam_brick,occ3_scene0004
同物過切,0.3666666666666667,2.8,0.62,cups,cups,occ3_scene0005
並排有縫,0.33333333333333337,56.0,1.0,tennis_ball,mug,occ3_scene0005
並排有縫,0.6576576576576576,85.9,0.75,cups,mug,occ3_scene0005
並排有縫,0.5925925925925926,55.0,0.33,tennis_ball,mug,occ3_scene0005
同物過切,0.8018018018018018,0.3,0.67,mug,mug,occ3_scene0005
並排有縫,0.3287671232876712,102.9,1.0,cups,baseball,occ3_scene0006
並排有縫,0.40816326530612246,121.5,1.0,large_clamp,cups,occ3_scene0006
並排有縫,0.4482758620689655,70.5,0.91,large_clamp,baseball,occ3_scene0006
並排有縫,0.4426229508196722,125.3,1.0,foam_brick,padlock,occ3_scene0007
並排有縫,0.22784810126582278,41.8,1.0,sponge,foam_brick,occ3_scene0007
並排有縫,0.25,73.0,1.0,scissors,cups,occ3_scene0008
同物過切,0.7090909090909091,5.7,1.0,scissors,scissors,occ3_scene0008
同物過切,0.33333333333333337,11.2,1.0,scissors,scissors,occ3_scene0008
並排有縫,0.1724137931034483,132.9,1.0,softball,gelatin_box,occ3_scene0009
並排有縫,0.5084745762711864,132.5,1.0,softball,gelatin_box,occ3_scene0009
並排有縫,0.2564102564102564,81.9,1.0,cups,pudding_box,occ3_scene0011
並排有縫,0.20408163265306123,36.7,1.0,cups,cups,occ3_scene0011
並排有縫,0.2068965517241379,103.6,1.0,cups,pudding_box,occ3_scene0011
並排有縫,0.33333333333333337,80.9,1.0,cups,pudding_box,occ3_scene0011
同物過切,0.05882352941176472,3.8,1.0,padlock,padlock,occ3_scene0012
並排有縫,0.33333333333333337,75.2,1.0,strawberry,cups,occ3_scene0012
並排有縫,0.8333333333333334,82.0,0.0,tomato_soup_can,golf_ball,occ3_scene0013
同物過切,0.8695652173913043,60.6,0.5,tomato_soup_can,tomato_soup_can,occ3_scene0013
並排有縫,0.26530612244897955,80.2,1.0,tomato_soup_can,golf_ball,occ3_scene0013
並排有縫,0.90625,117.8,0.12,tomato_soup_can,cups,occ3_scene0013
