scene,i,j,class,plane_med,plane_min,kink_deg,zov,conn,objA,objB
n4_scene0044,2,3,並排有縫,170.8,170.8,0.0,0.57,0,mug,padlock
n4_scene0046,6,12,並排有縫,70.9,70.9,0.1,0.0,0,cups,cracker_box
n4_scene0046,4,6,並排有縫,90.1,90.1,0.0,0.2,0,cracker_box,cups
n4_scene0046,1,3,同物過切,5.2,5.2,0.1,1.0,0,nine_hole_peg_test,nine_hole_peg_test
n4_scene0046,6,11,並排有縫,106.6,106.6,0.0,0.85,0,cups,cracker_box
n4_scene0046,5,6,並排有縫,90.1,90.1,0.0,1.0,0,cracker_box,cups
n4_scene0046,4,8,同物過切,2.3,2.3,0.0,0.82,1,cracker_box,cracker_box
n4_scene0046,8,11,同物過切,7.7,7.7,0.1,0.96,0,cracker_box,cracker_box
n4_scene0046,1,2,同物過切,5.2,5.2,0.1,0.14,1,nine_hole_peg_test,nine_hole_peg_test
n4_scene0046,7,9,同物過切,52.3,52.3,0.3,1.0,1,mustard_bottle,mustard_bottle
n4_scene0046,7,12,並排有縫,161.3,161.3,0.0,0.0,0,mustard_bottle,cracker_box
n4_scene0046,1,13,同物過切,32.5,32.5,0.1,1.0,0,nine_hole_peg_test,nine_hole_peg_test
n4_scene0046,7,8,並排有縫,197.6,197.6,0.1,0.97,0,mustard_bottle,cracker_box
n4_scene0047,1,2,並排有縫,32.3,32.3,0.0,1.0,0,cups,cups
n4_scene0048,2,4,同物過切,6.1,5.7,0.1,0.62,1,cups,cups
n4_scene0049,2,4,並排有縫,218.0,218.0,0.0,0.0,0,cups,cracker_box
n4_scene0049,5,8,並排有縫,159.3,159.3,0.0,1.0,0,cracker_box,tuna_fish_can
n4_scene0049,4,9,並排有縫,173.2,173.2,0.0,0.0,0,cracker_box,tuna_fish_can
n4_scene0049,8,9,同物過切,6.2,4.6,0.0,0.33,1,tuna_fish_can,tuna_fish_can
n4_scene0049,4,8,並排有縫,159.3,159.3,0.0,0.0,0,cracker_box,tuna_fish_can
n4_scene0049,3,6,同物過切,9.0,7.3,0.1,0.92,1,cracker_box,cracker_box
n4_scene0049,5,9,並排有縫,173.2,173.2,0.0,1.0,0,cracker_box,tuna_fish_can
n4_scene0049,2,8,並排有縫,100.2,100.2,0.0,1.0,0,cups,tuna_fish_can
n4_scene0051,1,7,同物過切,2.7,1.3,0.0,0.86,1,racquetball,racquetball
n4_scene0051,3,5,並排有縫,125.2,125.2,0.0,1.0,0,cups,bowl
n4_scene0052,1,7,同物過切,1.6,0.3,0.0,0.5,1,knife,knife
n4_scene0052,6,9,同物過切,23.0,6.8,0.1,1.0,1,pitcher_base,pitcher_base
n4_scene0053,4,9,並排有縫,82.4,82.4,0.1,1.0,0,power_drill,sugar_box
n4_scene0053,4,6,並排有縫,76.2,76.2,0.1,1.0,0,power_drill,sugar_box
n4_scene0053,5,7,同物過切,7.9,7.9,0.1,0.36,1,sugar_box,sugar_box
n4_scene0053,5,10,並排有縫,237.2,237.2,0.0,0.0,0,sugar_box,apple
n4_scene0053,2,5,並排有縫,116.3,116.3,0.1,0.0,0,power_drill,sugar_box
n4_scene0053,2,8,並排有縫,104.3,91.6,0.1,0.0,0,power_drill,sugar_box
n4_scene0053,4,5,並排有縫,158.4,130.4,0.0,0.0,0,power_drill,sugar_box
n4_scene0053,5,6,同物過切,16.2,14.8,0.1,0.0,1,sugar_box,sugar_box
n4_scene0053,4,8,並排有縫,82.4,82.4,0.1,0.22,0,power_drill,sugar_box
n4_scene0053,4,14,並排有縫,177.9,177.9,0.0,0.0,0,power_drill,sugar_box
n4_scene0053,5,9,同物過切,4.5,1.8,0.0,0.0,0,sugar_box,sugar_box
n4_scene0053,5,15,並排有縫,270.5,270.5,0.1,0.0,0,sugar_box,potted_meat_can
n4_scene0053,2,4,同物過切,36.6,17.2,0.1,1.0,1,power_drill,power_drill
n4_scene0053,8,14,同物過切,12.0,12.0,0.0,0.0,0,sugar_box,sugar_box
n4_scene0053,7,9,同物過切,11.9,11.9,0.1,0.57,1,sugar_box,sugar_box
n4_scene0053,5,11,並排有縫,277.1,277.1,0.1,0.0,0,sugar_box,potted_meat_can
n4_scene0053,5,8,同物過切,14.2,1.8,0.0,0.0,1,sugar_box,sugar_box
n4_scene0053,1,4,同物過切,22.4,22.4,0.1,1.0,1,power_drill,power_drill
n4_scene0053,2,9,並排有縫,91.6,91.6,0.1,1.0,0,power_drill,sugar_box
n4_scene0053,11,15,同物過切,5.0,1.2,0.1,0.4,1,potted_meat_can,potted_meat_can
n4_scene0053,2,6,並排有縫,86.2,84.0,0.1,1.0,0,power_drill,sugar_box
n4_scene0053,7,8,同物過切,11.9,11.9,0.1,1.0,0,sugar_box,sugar_box
n4_scene0054,3,4,同物過切,12.8,2.8,0.1,0.67,1,master_chef_can,master_chef_can
n4_scene0055,3,4,並排有縫,88.1,88.1,0.0,0.89,0,golf_ball,peach
n4_scene0056,3,4,並排有縫,193.4,193.4,0.1,1.0,0,mustard_bottle,scissors
n4_scene0056,4,5,同物過切,6.3,5.3,0.0,1.0,1,scissors,scissors
n4_scene0056,5,6,同物過切,4.7,4.6,0.0,1.0,1,scissors,scissors
n4_scene0056,3,5,並排有縫,175.1,97.2,0.1,1.0,0,mustard_bottle,scissors
n4_scene0058,1,6,並排有縫,142.9,138.1,0.1,1.0,0,tomato_soup_can,sponge
n4_scene0058,1,2,同物過切,8.4,7.6,0.0,0.33,1,tomato_soup_can,tomato_soup_can
n4_scene0058,3,4,同物過切,1.8,0.4,0.0,1.0,1,phillips_screwdriver,phillips_screwdriver
n4_scene0059,5,13,同物過切,5.6,1.7,0.0,0.0,0,bleach_cleanser,bleach_cleanser
n4_scene0059,1,2,並排有縫,281.7,281.7,0.0,1.0,0,wood_block,nine_hole_peg_test
n4_scene0059,9,13,並排有縫,217.4,217.4,0.0,0.0,0,wood_block,bleach_cleanser
n4_scene0059,2,7,並排有縫,277.9,277.9,0.1,1.0,0,nine_hole_peg_test,wood_block
n4_scene0059,1,8,並排有縫,189.6,189.6,0.0,1.0,0,wood_block,bleach_cleanser
n4_scene0059,7,9,同物過切,1.0,1.0,0.1,0.4,1,wood_block,wood_block
n4_scene0059,7,12,並排有縫,280.9,280.9,0.1,1.0,0,wood_block,nine_hole_peg_test
n4_scene0059,9,12,並排有縫,286.5,286.5,0.1,0.0,0,wood_block,nine_hole_peg_test
n4_scene0059,2,9,並排有縫,258.4,258.4,0.0,0.0,0,nine_hole_peg_test,wood_block
n4_scene0059,2,12,同物過切,10.0,3.2,0.1,1.0,1,nine_hole_peg_test,nine_hole_peg_test
n4_scene0060,1,6,同物過切,11.6,7.9,0.0,1.0,1,foam_brick,foam_brick
n4_scene0061,1,2,同物過切,6.4,6.4,0.1,1.0,1,rubiks_cube,rubiks_cube
n4_scene0061,3,4,並排有縫,156.9,133.4,0.0,1.0,0,mini_soccer_ball,cups
n5_scene0001,1,2,同物過切,11.5,7.9,0.1,0.29,1,master_chef_can,master_chef_can
n5_scene0001,10,11,同物過切,4.4,1.7,0.0,1.0,1,scissors,scissors
n5_scene0001,1,5,並排有縫,181.7,177.2,0.0,1.0,0,master_chef_can,bleach_cleanser
n5_scene0001,4,6,同物過切,5.4,0.3,0.0,0.2,1,bleach_cleanser,bleach_cleanser
n5_scene0001,4,5,同物過切,13.6,13.6,0.0,0.0,0,bleach_cleanser,bleach_cleanser
n5_scene0001,5,6,同物過切,21.3,1.8,0.1,0.57,1,bleach_cleanser,bleach_cleanser
n5_scene0001,2,5,並排有縫,146.8,146.8,0.1,1.0,0,master_chef_can,bleach_cleanser
n5_scene0001,1,3,同物過切,1.0,1.0,0.0,1.0,1,master_chef_can,master_chef_can
n5_scene0002,5,8,並排有縫,151.1,151.1,0.1,1.0,0,cups,power_drill
n5_scene0002,3,7,並排有縫,144.7,144.7,0.1,0.33,0,power_drill,cups
n5_scene0002,5,7,同物過切,8.0,8.0,0.1,1.0,1,cups,cups
n5_scene0002,3,5,並排有縫,147.6,147.6,0.0,1.0,0,power_drill,cups
n5_scene0002,5,6,並排有縫,83.4,83.4,0.0,1.0,0,cups,mug
n5_scene0002,1,9,同物過切,2.2,0.0,0.0,1.0,1,rubiks_cube,rubiks_cube
n5_scene0002,7,8,並排有縫,137.1,137.1,0.0,0.67,0,cups,power_drill
n5_scene0003,2,7,同物過切,8.8,4.4,0.1,0.5,1,cups,cups
n5_scene0003,6,9,同物過切,4.7,3.8,0.1,0.89,1,cracker_box,cracker_box
n5_scene0003,1,3,並排有縫,79.5,79.5,0.0,1.0,0,cups,plate
n5_scene0003,7,8,並排有縫,183.4,183.4,0.1,0.17,0,cups,foam_brick
n5_scene0004,1,2,同物過切,27.9,27.9,0.1,0.29,1,nine_hole_peg_test,nine_hole_peg_test
n5_scene0004,1,8,同物過切,24.2,24.2,0.1,1.0,0,nine_hole_peg_test,nine_hole_peg_test
n5_scene0004,6,7,並排有縫,143.4,143.4,0.0,1.0,0,softball,large_clamp
n5_scene0004,1,3,同物過切,27.9,27.9,0.1,1.0,0,nine_hole_peg_test,nine_hole_peg_test
n5_scene0005,3,4,並排有縫,197.0,197.0,0.0,1.0,0,cups,mustard_bottle
n5_scene0005,4,6,並排有縫,187.1,187.1,0.0,1.0,0,mustard_bottle,cups
n5_scene0005,3,6,同物過切,6.3,6.1,0.1,0.67,1,cups,cups
n5_scene0005,2,5,並排有縫,99.8,99.8,0.0,1.0,0,cups,lemon
n5_scene0006,9,14,並排有縫,223.0,223.0,0.1,1.0,0,extra_large_clamp,sugar_box
n5_scene0006,10,12,同物過切,19.7,12.9,0.1,0.31,1,sugar_box,sugar_box
n5_scene0006,10,15,同物過切,10.6,10.6,0.0,0.0,1,sugar_box,sugar_box
n5_scene0006,12,15,同物過切,26.2,26.2,0.1,0.69,0,sugar_box,sugar_box
n5_scene0006,10,11,同物過切,10.2,10.2,0.1,0.07,0,sugar_box,sugar_box
n5_scene0006,9,15,並排有縫,223.0,223.0,0.1,1.0,0,extra_large_clamp,sugar_box
n5_scene0006,6,9,並排有縫,256.3,256.3,0.0,0.8,0,mini_soccer_ball,extra_large_clamp
n5_scene0007,5,7,同物過切,8.5,0.3,0.1,0.2,1,cups,cups
n5_scene0008,2,3,並排有縫,414.9,414.9,0.1,1.0,0,tuna_fish_can,pitcher_base
n5_scene0008,3,5,並排有縫,122.5,35.8,0.1,1.0,0,pitcher_base,medium_clamp
n5_scene0008,2,7,同物過切,11.3,9.3,0.0,0.67,1,tuna_fish_can,tuna_fish_can
n5_scene0009,5,6,並排有縫,54.4,49.4,0.0,1.0,0,peach,strawberry
n5_scene0010,3,8,同物過切,14.1,2.8,0.0,1.0,1,orange,orange
n5_scene0010,2,7,同物過切,0.8,0.1,0.0,1.0,1,fork,fork
n5_scene0010,1,6,同物過切,1.6,0.5,0.0,0.67,1,knife,knife
n5_scene0010,2,8,並排有縫,79.4,79.4,0.0,1.0,0,fork,orange
n5_scene0011,1,10,並排有縫,82.1,82.1,0.1,1.0,0,phillips_screwdriver,wood_block
n5_scene0011,2,11,同物過切,22.9,8.3,0.2,1.0,1,wood_block,wood_block
n5_scene0011,3,11,同物過切,22.9,8.3,0.2,0.0,0,wood_block,wood_block
n5_scene0012,1,2,同物過切,3.1,3.1,0.0,0.8,1,tomato_soup_can,tomato_soup_can
n5_scene0012,3,4,並排有縫,103.6,103.6,0.0,1.0,0,cups,apple
n5_scene0012,5,7,同物過切,14.0,10.6,0.1,0.2,1,potted_meat_can,potted_meat_can
n5_scene0012,5,9,同物過切,4.1,4.1,0.1,0.2,1,potted_meat_can,potted_meat_can
n5_scene0014,5,13,同物過切,4.2,3.9,0.1,1.0,1,cups,cups
n5_scene0014,7,10,同物過切,8.6,8.6,0.0,0.0,0,bleach_cleanser,bleach_cleanser
n5_scene0014,7,13,並排有縫,44.5,44.5,1.1,1.0,0,bleach_cleanser,cups
n5_scene0014,4,8,同物過切,18.6,3.2,0.0,0.0,0,bleach_cleanser,bleach_cleanser
n5_scene0014,6,10,並排有縫,2.0,2.0,0.0,0.0,0,cups,bleach_cleanser
n5_scene0014,4,10,同物過切,6.3,1.9,0.0,0.4,1,bleach_cleanser,bleach_cleanser
n5_scene0014,3,8,同物過切,14.7,14.0,0.1,0.0,1,bleach_cleanser,bleach_cleanser
n5_scene0014,1,7,並排有縫,152.3,152.3,0.0,1.0,0,cups,bleach_cleanser
n5_scene0014,2,6,並排有縫,204.7,204.7,0.0,1.0,0,master_chef_can,cups
n5_scene0015,2,4,同物過切,3.2,0.2,0.1,1.0,1,cups,cups
n5_scene0015,4,6,同物過切,12.5,12.5,0.1,0.71,1,cups,cups
n5_scene0015,2,6,同物過切,8.1,8.1,0.0,1.0,1,cups,cups
n5_scene0015,4,8,並排有縫,105.3,105.3,0.0,1.0,0,cups,padlock
n5_scene0015,2,8,並排有縫,81.0,72.8,0.0,1.0,0,cups,padlock
n5_scene0016,1,8,並排有縫,158.6,147.7,0.0,0.25,0,mini_soccer_ball,cracker_box
n5_scene0016,4,7,同物過切,7.8,3.2,0.1,0.96,1,cracker_box,cracker_box
n5_scene0016,1,7,並排有縫,145.9,139.4,0.0,0.85,0,mini_soccer_ball,cracker_box
n5_scene0016,1,10,並排有縫,158.6,147.7,0.0,1.0,0,mini_soccer_ball,cracker_box
n5_scene0016,1,6,並排有縫,115.9,112.2,0.0,1.0,0,mini_soccer_ball,racquetball
n5_scene0016,1,3,並排有縫,110.1,110.1,0.7,1.0,0,mini_soccer_ball,golf_ball
n5_scene0016,1,9,並排有縫,169.4,169.4,0.0,1.0,0,mini_soccer_ball,cracker_box
n5_scene0017,2,6,同物過切,7.8,5.3,0.0,1.0,1,adjustable_wrench,adjustable_wrench
n5_scene0019,8,10,同物過切,1.8,1.0,0.1,0.4,1,wood_block,wood_block
n5_scene0019,5,10,同物過切,4.5,4.5,0.1,0.4,1,wood_block,wood_block
n5_scene0019,2,5,並排有縫,123.9,123.9,0.0,1.0,0,pudding_box,wood_block
n5_scene0020,7,8,並排有縫,251.6,251.6,0.1,0.83,0,pitcher_base,sponge
n5_scene0021,8,9,並排有縫,138.6,133.3,0.0,1.0,0,tomato_soup_can,softball
n5_scene0021,8,12,並排有縫,61.9,60.8,0.0,1.0,0,tomato_soup_can,power_drill
n5_scene0021,4,5,並排有縫,44.1,44.1,0.0,1.0,0,power_drill,nine_hole_peg_test
n5_scene0021,5,6,並排有縫,13.5,13.5,0.2,1.0,0,nine_hole_peg_test,power_drill
n5_scene0021,4,8,並排有縫,77.7,77.7,0.1,1.0,0,power_drill,tomato_soup_can
n5_scene0021,5,12,並排有縫,29.8,29.8,0.0,1.0,0,nine_hole_peg_test,power_drill
n5_scene0021,8,11,並排有縫,117.8,117.8,0.0,1.0,0,tomato_soup_can,nine_hole_peg_test
n5_scene0021,7,9,並排有縫,116.1,115.8,0.1,0.5,0,tomato_soup_can,softball
n5_scene0021,3,5,並排有縫,41.3,41.3,0.0,1.0,0,power_drill,nine_hole_peg_test
n5_scene0021,3,8,並排有縫,73.0,53.0,0.1,1.0,0,power_drill,tomato_soup_can
n5_scene0021,5,11,同物過切,13.5,12.5,0.1,1.0,1,nine_hole_peg_test,nine_hole_peg_test
n5_scene0021,5,8,並排有縫,116.1,106.1,0.1,1.0,0,nine_hole_peg_test,tomato_soup_can
n5_scene0021,2,3,同物過切,42.9,42.9,0.0,0.92,0,power_drill,power_drill
n5_scene0021,11,12,並排有縫,25.2,25.2,0.0,0.71,0,nine_hole_peg_test,power_drill
n5_scene0021,2,12,同物過切,15.4,13.4,0.0,0.83,1,power_drill,power_drill
n5_scene0022,3,5,同物過切,14.8,14.3,0.1,1.0,1,apple,apple
n5_scene0023,3,6,同物過切,6.4,5.7,0.1,1.0,1,cups,cups
n5_scene0023,4,7,並排有縫,149.0,149.0,0.0,0.5,0,mug,plate
n5_scene0024,9,10,同物過切,18.3,15.0,0.1,0.57,1,tuna_fish_can,tuna_fish_can
n5_scene0024,2,4,同物過切,13.3,13.3,0.1,0.0,0,sugar_box,sugar_box
n5_scene0024,2,10,並排有縫,359.9,359.9,0.1,0.0,0,sugar_box,tuna_fish_can
n5_scene0024,2,3,同物過切,13.3,1.8,0.1,0.0,0,sugar_box,sugar_box
n5_scene0024,2,6,同物過切,11.0,11.0,0.0,0.0,1,sugar_box,sugar_box
n5_scene0024,2,5,同物過切,11.0,11.0,0.0,0.0,1,sugar_box,sugar_box
n5_scene0025,1,5,同物過切,11.5,5.2,0.1,0.44,1,master_chef_can,master_chef_can
n5_scene0025,5,8,並排有縫,159.4,144.7,0.0,0.0,0,master_chef_can,potted_meat_can
n5_scene0025,2,9,同物過切,27.1,8.5,0.1,0.91,1,pitcher_base,pitcher_base
n5_scene0025,4,8,同物過切,6.9,0.7,0.1,0.29,0,potted_meat_can,potted_meat_can
n5_scene0026,6,8,同物過切,29.8,29.8,0.2,1.0,1,wood_block,wood_block
n5_scene0026,5,6,並排有縫,169.5,169.5,0.0,1.0,0,peach,wood_block
n5_scene0026,1,3,並排有縫,96.2,95.8,0.0,1.0,0,cups,bleach_cleanser
n5_scene0027,1,3,同物過切,3.1,2.5,0.1,0.86,1,cups,cups
n5_scene0028,2,4,並排有縫,64.6,64.6,0.0,0.0,0,nine_hole_peg_test,bowl
n5_scene0028,5,11,同物過切,3.5,2.6,0.1,0.7,1,cups,cups
n5_scene0028,3,4,並排有縫,79.9,79.9,0.1,0.57,0,nine_hole_peg_test,bowl
n5_scene0028,2,7,並排有縫,80.4,80.4,0.0,0.0,0,nine_hole_peg_test,bowl
n5_scene0028,6,9,同物過切,0.7,0.0,0.1,0.67,1,cups,cups
n5_scene0028,2,10,同物過切,4.0,0.0,0.0,1.0,0,nine_hole_peg_test,nine_hole_peg_test
n5_scene0028,1,4,並排有縫,64.6,64.6,0.0,0.92,0,nine_hole_peg_test,bowl
n5_scene0028,2,3,同物過切,18.2,16.4,0.1,1.0,1,nine_hole_peg_test,nine_hole_peg_test
n5_scene0028,1,7,並排有縫,80.4,80.4,0.0,0.92,0,nine_hole_peg_test,bowl
n5_scene0028,1,10,同物過切,4.0,0.0,0.0,0.71,1,nine_hole_peg_test,nine_hole_peg_test
n5_scene0028,1,3,同物過切,18.2,16.4,0.1,0.71,1,nine_hole_peg_test,nine_hole_peg_test
n5_scene0030,1,2,同物過切,8.8,6.3,0.0,1.0,1,scissors,scissors
n5_scene0030,10,11,同物過切,10.5,1.7,0.0,0.13,1,sugar_box,sugar_box
n5_scene0030,4,7,同物過切,77.4,77.4,0.1,1.0,1,plate,plate
n5_scene0031,2,3,並排有縫,47.6,43.2,0.0,1.0,0,orange,foam_brick
n5_scene0032,1,2,同物過切,25.9,23.5,0.1,1.0,1,cups,cups
n5_scene0033,3,8,並排有縫,179.2,170.6,0.1,0.0,0,cracker_box,extra_large_clamp
n5_scene0033,1,2,並排有縫,150.9,82.1,0.0,1.0,0,baseball,cracker_box
n5_scene0033,2,4,同物過切,2.2,2.2,0.1,1.0,1,cracker_box,cracker_box
n5_scene0033,3,4,同物過切,2.2,2.2,0.1,0.42,1,cracker_box,cracker_box
n5_scene0033,5,8,並排有縫,161.0,160.7,0.1,0.5,0,cracker_box,extra_large_clamp
n5_scene0033,2,9,並排有縫,174.6,164.7,0.0,1.0,0,cracker_box,mini_soccer_ball
n5_scene0033,4,5,同物過切,2.3,1.5,0.1,0.89,1,cracker_box,cracker_box
n5_scene0033,3,9,並排有縫,174.6,164.7,0.0,0.33,0,cracker_box,mini_soccer_ball
n5_scene0033,1,3,並排有縫,151.6,82.1,0.0,0.0,0,baseball,cracker_box
n5_scene0033,2,8,並排有縫,179.2,170.6,0.1,1.0,0,cracker_box,extra_large_clamp
n5_scene0034,9,11,同物過切,25.7,9.2,0.1,0.62,1,tuna_fish_can,tuna_fish_can
n5_scene0034,3,9,並排有縫,60.7,60.7,0.6,1.0,0,mustard_bottle,tuna_fish_can
n5_scene0034,4,14,同物過切,12.9,12.9,0.1,0.83,1,rubiks_cube,rubiks_cube
n5_scene0034,3,6,同物過切,5.1,5.1,0.0,1.0,1,mustard_bottle,mustard_bottle
n5_scene0034,1,2,同物過切,1.2,1.2,0.0,0.9,1,cups,cups
n5_scene0034,3,11,並排有縫,51.4,51.4,0.5,1.0,0,mustard_bottle,tuna_fish_can
n5_scene0035,1,7,同物過切,9.9,2.4,0.0,1.0,1,apple,apple
n5_scene0036,6,8,並排有縫,212.3,212.3,0.1,0.0,0,potted_meat_can,golf_ball
n5_scene0036,2,6,同物過切,3.7,3.6,0.1,0.2,1,potted_meat_can,potted_meat_can
n5_scene0036,5,6,同物過切,7.7,7.7,0.1,0.2,1,potted_meat_can,potted_meat_can
n5_scene0036,2,8,並排有縫,239.0,239.0,0.0,1.0,0,potted_meat_can,golf_ball
n5_scene0037,2,4,同物過切,12.4,12.4,0.0,1.0,1,power_drill,power_drill
n5_scene0037,1,5,同物過切,86.1,86.1,0.0,1.0,1,power_drill,power_drill
n5_scene0037,1,4,同物過切,16.6,16.6,0.0,1.0,1,power_drill,power_drill
n5_scene0037,2,5,同物過切,67.0,67.0,0.0,1.0,0,power_drill,power_drill
n5_scene0038,2,5,同物過切,12.2,12.2,0.0,1.0,1,apple,apple
n5_scene0038,3,6,同物過切,11.6,8.7,0.0,0.89,1,orange,orange
n5_scene0039,7,10,並排有縫,114.1,114.1,0.0,1.0,0,cups,foam_brick
n5_scene0039,5,7,同物過切,7.2,3.0,0.1,0.78,1,cups,cups
n5_scene0039,8,9,同物過切,12.7,12.7,0.1,0.4,1,potted_meat_can,potted_meat_can
n5_scene0039,5,6,並排有縫,43.1,43.1,0.0,0.78,0,cups,cups
n5_scene0039,3,6,並排有縫,65.3,65.3,0.0,1.0,0,foam_brick,cups
n5_scene0039,9,11,同物過切,11.8,8.9,0.1,0.4,1,potted_meat_can,potted_meat_can
n5_scene0040,6,10,並排有縫,110.0,110.0,0.2,0.86,0,tennis_ball,medium_clamp
n5_scene0042,4,6,並排有縫,204.3,204.3,0.0,0.0,0,bleach_cleanser,cups
n5_scene0042,5,7,並排有縫,245.0,245.0,0.1,0.0,0,bleach_cleanser,large_clamp
n5_scene0042,1,6,並排有縫,102.5,74.5,0.1,1.0,0,bleach_cleanser,cups
n5_scene0042,6,8,並排有縫,135.4,94.7,0.1,1.0,0,cups,extra_large_clamp
n5_scene0042,4,5,同物過切,7.7,3.4,0.0,0.25,1,bleach_cleanser,bleach_cleanser
n5_scene0042,1,8,並排有縫,377.0,377.0,0.1,1.0,0,bleach_cleanser,extra_large_clamp
n5_scene0042,6,7,並排有縫,157.6,157.6,0.0,1.0,0,cups,large_clamp
n5_scene0042,4,7,並排有縫,245.3,245.3,0.1,0.0,0,bleach_cleanser,large_clamp
n5_scene0042,1,4,同物過切,11.3,7.9,0.0,0.0,1,bleach_cleanser,bleach_cleanser
n5_scene0042,1,7,並排有縫,194.6,192.5,0.1,1.0,0,bleach_cleanser,large_clamp
n5_scene0042,2,6,並排有縫,100.3,76.7,0.1,0.83,0,bleach_cleanser,cups
n5_scene0043,2,7,同物過切,1.9,0.8,0.1,0.93,0,cracker_box,cracker_box
n5_scene0043,1,5,並排有縫,190.0,190.0,0.0,1.0,0,softball,cracker_box
n5_scene0043,4,9,並排有縫,317.0,317.0,0.0,0.05,0,cracker_box,cups
n5_scene0043,5,8,並排有縫,194.3,194.3,0.0,1.0,0,cracker_box,strawberry
n5_scene0043,1,4,並排有縫,190.0,190.0,0.0,0.1,0,softball,cracker_box
n5_scene0043,4,8,並排有縫,194.3,194.3,0.0,0.0,0,cracker_box,strawberry
n5_scene0043,5,9,並排有縫,317.0,317.0,0.0,1.0,0,cracker_box,cups
n5_scene0044,1,2,同物過切,13.8,10.0,0.1,0.07,1,sugar_box,sugar_box
n5_scene0044,1,8,同物過切,15.2,15.2,0.1,0.0,0,sugar_box,sugar_box
n5_scene0044,6,7,並排有縫,277.6,277.6,0.0,0.3,0,banana,sugar_box
n5_scene0044,1,7,同物過切,6.1,2.1,0.0,0.07,1,sugar_box,sugar_box
n5_scene0044,2,6,並排有縫,269.6,269.6,0.0,1.0,0,sugar_box,banana
n5_scene0044,1,6,並排有縫,264.5,264.1,0.0,0.0,0,sugar_box,banana
n5_scene0044,4,7,並排有縫,164.9,164.9,0.1,0.46,0,peach,sugar_box
n5_scene0045,8,10,同物過切,1.6,1.6,0.1,1.0,1,mug,mug
n5_scene0046,1,11,同物過切,1.5,0.4,0.0,1.0,0,fork,fork
n5_scene0046,4,6,並排有縫,326.8,326.8,0.0,1.0,0,mustard_bottle,master_chef_can
n5_scene0046,2,13,同物過切,3.0,3.0,0.1,1.0,1,mustard_bottle,mustard_bottle
n5_scene0046,5,13,並排有縫,121.5,86.1,0.0,1.0,0,cups,mustard_bottle
n5_scene0046,10,13,並排有縫,117.3,102.5,0.1,1.0,0,cups,mustard_bottle
n5_scene0046,3,13,並排有縫,128.2,95.5,0.1,1.0,0,knife,mustard_bottle
n5_scene0046,5,10,同物過切,11.0,0.3,0.1,1.0,1,cups,cups
n5_scene0046,3,12,同物過切,1.9,0.3,0.0,0.5,1,knife,knife
n5_scene0046,6,9,同物過切,16.8,10.3,0.1,0.29,1,master_chef_can,master_chef_can
n5_scene0047,1,2,同物過切,10.6,8.4,0.1,1.0,1,scissors,scissors
n5_scene0047,4,6,並排有縫,162.4,162.4,0.0,0.0,0,tomato_soup_can,nine_hole_peg_test
n5_scene0047,5,6,並排有縫,174.0,174.0,0.0,1.0,0,tomato_soup_can,nine_hole_peg_test
n5_scene0047,3,6,同物過切,6.4,1.4,0.1,1.0,1,nine_hole_peg_test,nine_hole_peg_test
n5_scene0048,3,8,並排有縫,151.2,136.4,0.1,1.0,0,cups,wood_block
n5_scene0048,5,8,並排有縫,153.4,153.4,0.1,1.0,0,cups,wood_block
n5_scene0048,3,7,並排有縫,155.6,155.6,0.0,0.0,0,cups,wood_block
n5_scene0048,6,8,同物過切,0.7,0.7,0.1,1.0,1,wood_block,wood_block
n5_scene0048,5,7,並排有縫,127.2,127.2,0.0,0.0,0,cups,wood_block
n5_scene0048,7,9,並排有縫,252.7,252.7,0.0,0.0,0,wood_block,plate
n5_scene0048,6,7,同物過切,4.2,3.1,0.1,0.5,1,wood_block,wood_block
n5_scene0048,7,8,同物過切,6.2,0.3,0.1,0.5,1,wood_block,wood_block
n5_scene0048,3,6,並排有縫,54.6,54.5,0.0,1.0,0,cups,wood_block
n5_scene0048,6,9,並排有縫,220.1,220.1,0.1,1.0,0,wood_block,plate
n5_scene0049,1,5,並排有縫,52.1,29.4,0.0,1.0,0,cups,power_drill
n5_scene0049,8,9,並排有縫,182.1,164.7,0.0,1.0,0,racquetball,pitcher_base
n5_scene0049,5,6,並排有縫,43.8,43.8,0.0,1.0,0,power_drill,cups
n5_scene0049,1,6,同物過切,2.9,2.9,0.1,1.0,1,cups,cups
n5_scene0049,1,9,並排有縫,139.9,139.9,0.0,1.0,0,cups,pitcher_base
n5_scene0050,3,8,同物過切,9.1,7.0,0.0,1.0,1,power_drill,power_drill
n5_scene0050,1,2,同物過切,18.6,18.6,0.1,0.29,1,nine_hole_peg_test,nine_hole_peg_test
n5_scene0050,2,7,同物過切,17.5,17.5,0.2,0.17,1,nine_hole_peg_test,nine_hole_peg_test
n5_scene0050,8,10,同物過切,114.7,114.7,0.0,1.0,1,power_drill,power_drill
n5_scene0050,1,7,同物過切,27.0,27.0,0.2,1.0,0,nine_hole_peg_test,nine_hole_peg_test
n5_scene0050,12,14,同物過切,12.4,10.0,0.0,1.0,1,scissors,scissors
n5_scene0051,1,4,同物過切,39.9,21.1,0.0,1.0,1,mug,mug
n5_scene0051,5,7,並排有縫,248.8,248.8,0.0,1.0,0,softball,cups
